,FirstName,LastName,Place
0,Rahul,Ranjan,Kolkata
1,Shahid,Gupta,Delhi
2,Meena,Srivas,Lucknow
3,Santosh,Singh,Chennai
4,Meena,Singh,Kolkata
5,Santosh,Srivas,Delhi
6,Meena,Nath,Panjim
7,Meena,Andrews,Kolkata
8,Ben,Gupta,Chennai
9,Meena,Andrews,Kolkata
10,Manoj,Kumar,Kanpur
11,Santosh,Singh,Panjim
12,Shahid,Kumar,Panjim
13,Priya,Gupta,Kanpur
14,Meena,Gupta,Panjim
15,Meena,Malik,Chennai
16,Santosh,Andrews,Kanpur
17,Manoj,Nath,Panjim
18,Manoj,Srivas,Kanpur
19,Arun,Singh,Mumbai
20,Ben,Andrews,Mumbai
21,Arun,Andrews,Mumbai
22,Ben,Malik,Kolkata
23,Rahul,Srivas,Kanpur
24,Arun,Ranjan,Kanpur
25,Manoj,Kumar,Lucknow
26,Meena,Srivas,Mumbai
27,Priya,Nath,Kolkata
28,David,Singh,Delhi
29,Priya,Nath,Chennai
30,Meena,Malik,Kanpur
31,Arun,Kumar,Lucknow
32,Priya,Kumar,Chennai
33,Meena,Singh,Chennai
34,Arjun,Malik,Lucknow
35,Rahul,Singh,Panjim
36,Santosh,Gupta,Chennai
37,Manoj,Malik,Lucknow
38,Priya,Ranjan,Kolkata
39,Ben,Kumar,Kanpur
40,Priya,Kumar,Chennai
41,Arun,Srivas,Panjim
42,Meena,Gupta,Kanpur
43,Santosh,Gupta,Chennai
44,Arjun,Andrews,Lucknow
45,Santosh,Srivas,Mumbai
46,Priya,Singh,Mumbai
47,Arun,Singh,Delhi
48,Arjun,Srivas,Chennai
49,Arun,Malik,Panjim
50,Priya,Srivas,Mumbai
51,Priya,Nath,Lucknow
52,Arjun,Nath,Kanpur
53,Meena,Kumar,Chennai
54,Arjun,Singh,Mumbai
55,Ben,Malik,Lucknow
56,Priya,Srivas,Kanpur
57,Santosh,Malik,Mumbai
58,Shahid,Malik,Lucknow
59,Meena,Ranjan,Delhi
60,Santosh,Kumar,Lucknow
61,Arjun,Malik,Lucknow
62,Meena,Gupta,Mumbai
63,Shahid,Nath,Kanpur
64,Ben,Andrews,Panjim
65,Manoj,Singh,Mumbai
66,Santosh,Malik,Panjim
67,Manoj,Malik,Kolkata
68,Santosh,Nath,Panjim
69,Santosh,Srivas,Kanpur
70,Manoj,Malik,Panjim
71,David,Kumar,Kolkata
72,Manoj,Gupta,Delhi
73,Rahul,Srivas,Kanpur
74,Rahul,Nath,Delhi
75,David,Ranjan,Kanpur
76,Meena,Nath,Chennai
77,Rahul,Srivas,Kanpur
78,Arjun,Gupta,Kolkata
79,Priya,Nath,Chennai
80,Rahul,Srivas,Chennai
81,Meena,Gupta,Mumbai
82,Arun,Kumar,Lucknow
83,Rahul,Gupta,Kolkata
84,Manoj,Gupta,Mumbai
85,Priya,Andrews,Kolkata
86,David,Srivas,Lucknow
87,Rahul,Ranjan,Mumbai
88,David,Gupta,Kolkata
89,Arjun,Kumar,Kanpur
90,Ben,Gupta,Delhi
91,David,Nath,Kolkata
92,Ben,Singh,Lucknow
93,Manoj,Kumar,Mumbai
94,Arjun,Srivas,Delhi
95,Meena,Srivas,Delhi
96,Meena,Singh,Chennai
97,Rahul,Srivas,Delhi
98,Ben,Srivas,Panjim
99,Meena,Gupta,Chennai
100,Ben,Kumar,Delhi
101,Shahid,Singh,Kolkata
102,Rahul,Srivas,Panjim
103,Meena,Ranjan,Delhi
104,Shahid,Gupta,Lucknow
105,Arjun,Gupta,Kolkata
106,Arun,Singh,Delhi
107,Ben,Kumar,Kanpur
108,Meena,Srivas,Kanpur
109,Priya,Gupta,Delhi
110,Priya,Srivas,Lucknow
111,Manoj,Srivas,Mumbai
112,Meena,Srivas,Delhi
113,Manoj,Malik,Lucknow
114,David,Ranjan,Panjim
115,Santosh,Malik,Panjim
116,Santosh,Malik,Kolkata
117,Priya,Andrews,Mumbai
118,Arjun,Nath,Kanpur
119,Rahul,Singh,Mumbai
120,Ben,Nath,Chennai
121,Priya,Singh,Mumbai
122,Arjun,Singh,Panjim
123,Ben,Kumar,Mumbai
124,Meena,Srivas,Kolkata
125,Shahid,Malik,Chennai
126,Manoj,Andrews,Lucknow
127,Shahid,Gupta,Kolkata
128,Rahul,Andrews,Kanpur
129,Shahid,Srivas,Kolkata
130,Ben,Nath,Kanpur
131,Rahul,Gupta,Panjim
132,Shahid,Kumar,Lucknow
133,David,Andrews,Kanpur
134,Arjun,Nath,Chennai
135,Manoj,Kumar,Delhi
136,Shahid,Gupta,Lucknow
137,Arjun,Singh,Kolkata
138,Priya,Andrews,Kanpur
139,Rahul,Nath,Kanpur
140,Manoj,Singh,Panjim
141,Rahul,Ranjan,Chennai
142,Arun,Singh,Kanpur
143,Arjun,Singh,Panjim
144,Santosh,Srivas,Kolkata
145,Shahid,Andrews,Kanpur
146,Meena,Andrews,Panjim
147,Priya,Gupta,Chennai
148,Arun,Kumar,Mumbai
149,Arun,Srivas,Panjim
150,Shahid,Nath,Lucknow
151,Ben,Gupta,Lucknow
152,David,Nath,Mumbai
153,Shahid,Gupta,Mumbai
154,Santosh,Kumar,Mumbai
155,Rahul,Ranjan,Chennai
156,Arjun,Ranjan,Mumbai
157,Arun,Srivas,Panjim
158,Meena,Nath,Kolkata
159,Ben,Nath,Kolkata
160,Manoj,Malik,Delhi
161,Arjun,Kumar,Mumbai
162,Arjun,Gupta,Kolkata
163,Arjun,Andrews,Panjim
164,Ben,Gupta,Kolkata
165,Rahul,Ranjan,Kanpur
166,Rahul,Malik,Kolkata
167,Santosh,Malik,Kanpur
168,Ben,Malik,Kolkata
169,David,Singh,Lucknow
170,Ben,Malik,Lucknow
171,Arjun,Malik,Kolkata
172,Manoj,Gupta,Panjim
173,Shahid,Malik,Kanpur
174,Manoj,Kumar,Lucknow
175,Arjun,Ranjan,Mumbai
176,Santosh,Nath,Lucknow
177,Ben,Kumar,Mumbai
178,Shahid,Andrews,Chennai
179,Rahul,Malik,Panjim
180,Shahid,Malik,Delhi
181,Shahid,Nath,Lucknow
182,Ben,Nath,Delhi
183,Shahid,Kumar,Lucknow
184,Rahul,Singh,Delhi
185,Meena,Kumar,Kanpur
186,Priya,Srivas,Chennai
187,Priya,Ranjan,Chennai
188,Ben,Singh,Delhi
189,Arun,Kumar,Delhi
190,Arjun,Malik,Panjim
191,Priya,Nath,Kolkata
192,Santosh,Srivas,Kolkata
